date,heure,duree,salle,titre,intervenant,descriptif ,categories,visuel_atelier,visuel_intervenant,linkedin_intervenant,insta_intervenant,offinity_intervenant,presentation_intervenant ,La.les causes défendues #CestQuoiTaCause ?,Statut,Intention,Le public visé #Personaes,La valeur apportée #Proposition de valeur,"Besoin en termes d'espace (Taille salle, nombre participants envisagés, salle envisagée)","Besoins logistiques (nb chaises, tables, paper-board, coussins, tapis rouge...)","Autre
Commentaire
Besoin d'aide...",Autres informations sur les dates et heures possibles,
Obligatoire,Obligatoire,Obligatoire,Obligatoire,Obligatoire,Obligatoire,Obligatoire,Optionel,Optionel,Optionel,Optionel,Optionel,Optionel,Optionel,Non importé,Non importé,Non importé,Non importé,Non importé,Non importé,Non importé,Non importé,Non importé,
,,,,"Voyage sonore, en gratitude aux personnes de l'équipe coeur organisatrice",Raphael Szmir,,,,,,,,,,Proposé,,,,,,,Heure et date à confirmer avec les personnes de l'équipe coeur,
20/01/2025,18:00:00PM,3:00:00,Le 47 - Grand salon et salles adjacentes,Apéro rencontre pré-festival,Prisca Elisabeth,Apéro rencontre pré-festival,,,,,,,,,Validé,Permettre aux gens de se sentir + à l'aise quand ils sont au festival,,,,,,En fin de journée,
21/01/2025,12:00:00 PM,3:00:00,Le 47 - Tout le 47,Cérémonie d'ouverture du festival,Raphael Szmir,"- La possibilité pour les partcipant.e.s de poser leurs ""intentions"" (intérieurement ?) en amont du festival pour l'inaugurer officiellement ? (inspiration du festival Nowhere en Espagne).
- Un méga share & care ?
- etc.",,,,,,,,,Validé,,,,,,,Vers midi / en amont / pendant le déjeuner,
21/01/2025,5:30:00 PM,4:30:00,Le 47 - Grand salon et salles adjacentes,Atelier Déb'Acteur sur l'immigration et sa place dans nos vies (avec Komune),Thomas Pittau,"En partenariat avec le média Komune, nous souhaitons proposer un atelier accessible pour aborder le sujet de l'immigration et sa place dans nos vies 💥😎

Que vous soyez timide, cynique, enthousiaste, tchatcheur, ce format vous embarque dans un parti dont la répartition est aléatoire. Il s'agit avant tout d'un jeu qui va questionner notre rapport à la démocratie et ses outils actuels. 🥳🥳

En alternant différentes modalités d'échanges, vous ne verrez pas le temps passer, c'est promis !

Aucun pré requis n'est nécessaire à part peut-être votre bonne humeur !



Inscription obligatoire 🚀",,https://photos.app.goo.gl/sUUB9PkKbRHRavGS9,https://www.rue89strasbourg.com/wp-content/uploads/2021/10/thomas-pittau.jpg,,,,Komune est un média qui sensibilise aux enjeux liés à l'immigration,Démocratie,Validé,"Tester une modalité, un peu différente avec la participation éventuelle à un podcast ",Tout public à partir de 16 ans,une plongée dans la démocratie sur un enjeu de fond qui devient de plus en plus critique,Tout le 47 - ,"30 chaises, 4 papers boards si possible","L'événement avait été confirmé car il n'était pas sensé être organisé dans le cadre du festival à la base. Mais cela fit complètement, donc c'est super !",17h - 22h,https://www.eventbrite.fr/e/billets-debacteur-quelle-politique-dimmigration-pour-demain-1072936224129?aff=oddtdtcreator
21/01/2025,2:00:00 PM,2h,Blablaroom,"SIDERAL
""Cause maintenant cause toujours""

La bande Orifginale de ta vie",Etienne Gauthier,"Bienvenue à ""SIDÉRAL"", un atelier créatif où musiques et causes se rencontrent. 

Ici, c'est ton histoire ou ton projet qui prennent vie, d'abord sous forme de dessin ;
Puis tu me le racontes, en partageant tes idées, tes émotions ou tes rêves qui l’animent.

Ensuite, je m'inspire de ton récit et je crée instantanément la bande-son de ton histoire, que ce soit au piano, à la trompette, aux percussions ou au synthé, je compose en direct une musique unique pour t'accompagner dans ton univers. 

Chaque morceau est une improvisation, un cadeau musical spontané, un écho à ton dessin et ta cause, la BO de ta vie ou de tes projets. 

Alors viens, je te jouerai ta mélodie, une création en Live et sans filet !",,,,https://www.linkedin.com/in/etienne-gauthier-%F0%9F%8C%8E%F0%9F%8E%A7%F0%9F%A5%81-a052695a/,https://www.instagram.com/etiennegauthier_ad_composer/,,"    Cet atelier se nourrit de mon expérience de compositeur de musique de films mais aussi mon parcours de formateur à travers les formations en thérapie que j’ai suivies (écoute active, PNL, Ennéagramme, entre autres), puis celles que j’ai créé pour mes camarades artistes. Avec mon amour pour la musique live,l’idée m’est venue de proposer à des amis de dessiner puis de raconter une histoire qui les touchait et qu’ensuite, je compose spontanément une musique inspirée de leurs créations.

    j’ai été surpris de découvrir à quel point les émotions qui en sortaient pour les participants étaient intenses et profondes. J’ai affiné progressivement le processus et c’est devenu un atelier-concert que j’ai  facilité des dizaines de fois

    Aujourd’hui, je pense que cet  atelier est une belle manière de sensibiliser à l’écologie intérieure : en apportant du soin et de l’amour aux personnes, en équipe ou solo, en milieu professionnel, associatif ou individuel.

    Le moment du Concert pour Toi Émoi permet en parallèle de créer une cohésion de groupe en douceur, facilitant par la suite les échanges et la collaboration au sein d’une équipe.",,,,,,,,,,
22/01/2025,5:30:00 PM,2h,Blablaroom,"SIDERAL
""Cause maintenant cause toujours""

La bande Orifginale de ta vie",Etienne Gauthier,"Bienvenue à ""SIDÉRAL"", un atelier créatif où musiques et causes se rencontrent. 

Ici, c'est ton histoire ou ton projet qui prennent vie, d'abord sous forme de dessin ;
Puis tu me le racontes, en partageant tes idées, tes émotions ou tes rêves qui l’animent.

Ensuite, je m'inspire de ton récit et je crée instantanément la bande-son de ton histoire, que ce soit au piano, à la trompette, aux percussions ou au synthé, je compose en direct une musique unique pour t'accompagner dans ton univers. 

Chaque morceau est une improvisation, un cadeau musical spontané, un écho à ton dessin et ta cause, la BO de ta vie ou de tes projets. 

Alors viens, je te jouerai ta mélodie, une création en Live et sans filet !",,,,https://www.linkedin.com/in/etienne-gauthier-%F0%9F%8C%8E%F0%9F%8E%A7%F0%9F%A5%81-a052695a/,https://www.instagram.com/etiennegauthier_ad_composer/,,"    Cet atelier se nourrit de mon expérience de compositeur de musique de films mais aussi mon parcours de formateur à travers les formations en thérapie que j’ai suivies (écoute active, PNL, Ennéagramme, entre autres), puis celles que j’ai créé pour mes camarades artistes. Avec mon amour pour la musique live,l’idée m’est venue de proposer à des amis de dessiner puis de raconter une histoire qui les touchait et qu’ensuite, je compose spontanément une musique inspirée de leurs créations.

    j’ai été surpris de découvrir à quel point les émotions qui en sortaient pour les participants étaient intenses et profondes. J’ai affiné progressivement le processus et c’est devenu un atelier-concert que j’ai  facilité des dizaines de fois

    Aujourd’hui, je pense que cet  atelier est une belle manière de sensibiliser à l’écologie intérieure : en apportant du soin et de l’amour aux personnes, en équipe ou solo, en milieu professionnel, associatif ou individuel.

    Le moment du Concert pour Toi Émoi permet en parallèle de créer une cohésion de groupe en douceur, facilitant par la suite les échanges et la collaboration au sein d’une équipe.",,,,,,,,,,
23/01/2025,5:30:00 PM,2h,Blablaroom,"SIDERAL
""Cause maintenant cause toujours""

La bande Orifginale de ta vie",Etienne Gauthier,"Bienvenue à ""SIDÉRAL"", un atelier créatif où musiques et causes se rencontrent. 

Ici, c'est ton histoire ou ton projet qui prennent vie, d'abord sous forme de dessin ;
Puis tu me le racontes, en partageant tes idées, tes émotions ou tes rêves qui l’animent.

Ensuite, je m'inspire de ton récit et je crée instantanément la bande-son de ton histoire, que ce soit au piano, à la trompette, aux percussions ou au synthé, je compose en direct une musique unique pour t'accompagner dans ton univers. 

Chaque morceau est une improvisation, un cadeau musical spontané, un écho à ton dessin et ta cause, la BO de ta vie ou de tes projets. 

Alors viens, je te jouerai ta mélodie, une création en Live et sans filet !",,,,https://www.linkedin.com/in/etienne-gauthier-%F0%9F%8C%8E%F0%9F%8E%A7%F0%9F%A5%81-a052695a/,https://www.instagram.com/etiennegauthier_ad_composer/,,"    Cet atelier se nourrit de mon expérience de compositeur de musique de films mais aussi mon parcours de formateur à travers les formations en thérapie que j’ai suivies (écoute active, PNL, Ennéagramme, entre autres), puis celles que j’ai créé pour mes camarades artistes. Avec mon amour pour la musique live,l’idée m’est venue de proposer à des amis de dessiner puis de raconter une histoire qui les touchait et qu’ensuite, je compose spontanément une musique inspirée de leurs créations.

    j’ai été surpris de découvrir à quel point les émotions qui en sortaient pour les participants étaient intenses et profondes. J’ai affiné progressivement le processus et c’est devenu un atelier-concert que j’ai  facilité des dizaines de fois

    Aujourd’hui, je pense que cet  atelier est une belle manière de sensibiliser à l’écologie intérieure : en apportant du soin et de l’amour aux personnes, en équipe ou solo, en milieu professionnel, associatif ou individuel.

    Le moment du Concert pour Toi Émoi permet en parallèle de créer une cohésion de groupe en douceur, facilitant par la suite les échanges et la collaboration au sein d’une équipe.",,,,,,,,,,
24/01/2025,,,,Cérémonie de l'argent pour ré-équilibrer les flux financiers et non financiers,Raphael Szmir,Voir message mis sur les billets dans #festival-orga-générale,,,,,,,,,Proposé,,,,,,,"1 ou 2 fois par grosse journée du festival, le vendredi et samedi ? Exemple 1 fois le midi, et une fois en fin de journée, avant le début de la soirée",
24/01/2025,5:30:00 PM,0:02:00,Le 47 - Bla bla room,Exploration intuitive ,Corinne Risse,"Notre mental prend une place extrême dans nos vies, il parle si fort que nous n’entendons plus les messages subtils de notre corps et de notre intuition.
L’intention de l’atelier : se reconnecter à son intuition pour prendre une décision, faire un choix ou recevoir un éclairage général pour mieux s'orienter dans sa vie.

L'atelier est structuré en deux temps : 
- un partage de bonnes pratiques pour écouter son intuition dans son quotidien et la distinguer du mental
- une exploration intuitive à travers un voyage méditatif et l'utilisation de supports permettant de faire émerger une vision analogique, symbolique.
",,,,,,,"Corinne Risse est accompagnante et créatrice - facilitatrice d'ateliers, spécialisée sur les stratégies mentales et sur l'intuition.

Damien Syren est Head of Customer Service de Medoucine, fondateur de @plus.de.serenite et coach Burn-out.","L'écologie intérieure, la singularité de chacun, l'humanisme",Proposé,"Notre mental prend une place extrême dans nos vies, il parle si fort que nous n’entendons plus les messages subtils de notre corps et de notre intuition.
L’intention de l’atelier : se reconnecter à son intuition pour prendre une décision, faire un choix ou recevoir un éclairage général pour mieux s'orienter dans sa vie.
",Toute personne ayant envie de s'extirper du mental tout puissant et de se reconnecter à  son intuition,"Ouverture à une façon de vivre plus naturelle, intuitive, plutôt que mentale","6 à 8 personnes envisagées
Bla bla room ou équivalent, ambiance canapés/ coussins plutôt que chaises et tables
","De quoi s'asseoir pour 8 personnes (canapés, coussins)",,"Tous les jours possibles, entre 10h et 22h. Préférence pour un créneau en fin de journée, à partir de 18h
Possibilité de faire 2 créneaux sur 2 journées différentes",
